Title,Description,Domestic_BO,International_BO,Worldwide_BO,Distributor,Opening_amount,Release_date,Mpaa_rating,Running_time,Genres,In_release,Widest_release
The Super Mario Bros. Movie,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom.,"$560,941,975","$717,825,000","$1,278,766,975",Universal Pictures,"$146,361,865","Apr 5, 2023",PG,1 hr 32 min,"Adventure,Animation,Comedy,Family,Fantasy",53 days/7 weeks,"4,371 theaters"
Jesus Revolution,The true story of a national spiritual awakening in the early 1970s and its origins within a community of teenage hippies in Southern California.,"$52,102,987","$226,330","$52,329,317",Lionsgate,"$15,882,067","Feb 24, 2023",PG-13,2 hr,Drama,93 days/13 weeks,"2,575 theaters"
Magic Mike's Last Dance,"Mike takes to the stage again, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. Mike heads to London with a wealthy socialite who lures him with an offer he can't refuse.","$26,005,156","$31,025,000","$57,030,156",Warner Bros.,"$8,305,317","Feb 10, 2023",R,1 hr 52 min,"Comedy,Drama",107 days/15 weeks,"3,034 theaters"
65,An astronaut crash lands on a mysterious planet only to discover he's not alone.,"$32,062,904","$27,926,511","$59,989,415",Sony Pictures Entertainment (SPE),"$12,328,361","Mar 10, 2023",PG-13,1 hr 33 min,"Action,Adventure,Drama,Sci-Fi,Thriller",79 days/11 weeks,"3,405 theaters"
80 for Brady,A group of friends made it their life-long mission to go to the Super Bowl and meet NFL superstar Tom Brady.,"$39,330,588","$1,015,813","$40,346,401",Paramount Pictures,"$12,701,640","Feb 3, 2023",PG-13,1 hr 38 min,"Comedy,Drama,Sport",114 days/16 weeks,"3,939 theaters"
Mummies,"It follows three mummies as they end up in present-day London and embark on a journey in search of an old ring belonging to the Royal Family, stolen by the ambitious archaeologist Lord Carnaby.","$4,275,970","$48,520,000","$52,795,970",Warner Bros.,"$422,183","Feb 24, 2023",PG,1 hr 28 min,"Animation,Comedy,Family",93 days/13 weeks,384 theaters
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,All the Upper Rank Demons assemble at the Infinity Castle after Upper Six Demons' defeat.,"$10,117,806","$46,001,598","$56,119,404",Crunchyroll,"$10,117,806","Mar 3, 2023",R,1 hr 50 min,"Action,Adventure,Animation,Fantasy,Thriller",86 days/12 weeks,"1,774 theaters"
Plane,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,"$32,111,181","$20,116,913","$52,228,094",Lionsgate,"$10,265,326","Jan 13, 2023",R,1 hr 47 min,"Action,Adventure,Thriller",135 days/19 weeks,"3,060 theaters"
The Pope's Exorcist,"Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.","$19,823,636","$52,894,548","$72,718,184",Screen Gems,"$9,006,368","Apr 14, 2023",R,1 hr 43 min,"Horror,Thriller",44 days/6 weeks,"3,178 theaters"
Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","$15,033,795","$55,123,677","$70,157,472",Paramount Pictures,"$6,714,684","Feb 10, 2023",PG-13,3 hr 14 min,"Drama,Romance",107 days/15 weeks,"2,464 theaters"
